PID,DOI,views
L101,10.1016/j.compscitech.2007.05.021,1
L102,10.1016/j.jeurceramsoc.2007.02.082,2
L103,10.1088/0957-4484/15/9/028,3
L104,10.1002/adma.200801758,10
L105,10.1002/adma.200401816,4
L106,10.1002/adma.200602097,8
L107,10.1002/adfm.200700200,14
L108,10.1016/j.compositesa.2004.12.010,47
L109,10.1002/app.20626,6
L110,10.1109/T-DEI.2008.4446732,56
L111,10.1109/TDEI.2009.4815189,37
L112,10.1088/0957-4484/18/2/025703,23
L113,10.1109/ECTC.2004.1319391,27
L114,10.1007/s10853-006-0331-1,1
L115,10.1109/TDEI.2009.5361597,25
L116,10.1002/app.11475,20
L117,10.1109/TDEI.2010.5595551,11
L118,10.1016/j.compositesa.2005.02.006,9
L119,10.1016/S0009-2614(01)00186-5,65
L120,10.1063/1.2034654,44
L121,10.1088/0022-3727/38/2/005,33
L122,10.1109/CEIDP.2008.4772933,22
L123,10.1021/am3030239,7
L124,10.1109/T-DEI.2008.4446750,2
L125,10.1021/cm903182n,4
L126,10.1016/j.compscitech.2009.12.014,6
L127,10.1109/CEIDP.2009.5377895,56
L128,10.1109/TDEI.2010.5658218,37
L129,10.1039/c1jm12903a,23
L130,10.1002/pola.21650,27
L131,10.1109/TDEI.2013.004164,1
L132,10.1021/ma5000317,24
L133,10.1109/TDEI.2013.004165,25
L135,10.1088/1757-899X/73/1/012015,20
L136,10.1002/macp.201000138,11
L137,10.1021/cm4010486,8
L138,10.1080/00914030701729057,65
L139,10.1063/1.4793419,44
L140,10.3390/polym4010187,33
L141,10.1016/j.polymer.2013.05.033,78
L142,10.1021/jp409474k,37
L143,10.1109/TDEI.2013.6508768,23
L144,10.1021/ma3018876,27
L145,10.1109/TDEI.2012.6396969,1
L146,10.1039/C1JM13093E,24
L147,10.1016/j.polymer.2013.01.032,11
L148,10.1109/TDEI.2014.004415,8
L149,10.1109/TDEI.2012.6215100,65
L150,10.1038/nmat2404,44
L151,10.1021/ma902072d,4
L152,10.1016/j.polymer.2011.04.050,8
L153,10.1080/19475411003602732,16
L154,10.1016/j.compscitech.2005.10.004,9
L155,10.1109/TDEI.2005.1511089,18
L156,10.1007/s10853-006-0413-0,36
L157,10.1016/j.compscitech.2008.01.009,24
L158,10.1063/1.1529085,32
L159,10.1039/b514182f,36
L160,10.1063/1.1996842,2
L161,10.1016/S0032-3861(01)00446-3,56
L162,10.1016/j.compscitech.2006.01.030,7
L163,10.1016/j.polymer.2006.12.030,44
L164,10.1002/adma.200801106,4
L165,10.1016/S0032-3861(02)00120-9,8
L166,10.1016/j.carbon.2012.12.017,16
L167,10.1016/j.compscitech.2013.02.021,9
L168,10.1021/am404556c,18
L169,10.1039/c2jm30297g,44
L170,10.1039/c3ta10460e,78
L171,10.1002/polb.20925,1
L172,10.1021/acs.jpcc.5b08809,8
L173,10.1021/acs.jpcc.5b09066,16
L174,10.1038/nnano.2008.96,24
L175,10.1039/c4ra15178j,36
L176,10.1002/adma.201305293,66
L177,10.1021/am4001997,97
L179,10.1002/polb.21187,12
L181,10.1016/j.compscitech.2012.06.008,43
L183,10.1016/j.polymer.2003.10.003,31
L184,10.1021/acsami.6b06083,37
L185,10.1002/polb.20510,69
L186,10.1021/ma071687b,55
L187,10.1021/nn202928w,65
L188,10.1016/j.polymdegradstab.2004.02.001,44
L189,10.1002/adfm.201000723,4
L191,10.1016/j.polymer.2004.07.045,8
L192,10.1021/nn202040c,16
L193,10.1021/nn100661a,66
L194,10.1021/nl301792g,12
L195,10.1021/ma302281b,33
L196,10.1016/j.compscitech.2006.12.012,22
L197,10.1002/polb.21744,7
L198,10.1016/j.compscitech.2010.10.006,2
L199,10.1016/j.compscitech.2009.12.010,4
L200,10.1021/ma800298x,6
L201,10.2514/6.2003-1702,56
L202,10.1016/j.carbon.2008.02.008,37
L203,10.1021/am9000503,23
L204,10.1038/nmat1447,27
L205,10.1063/1.3487275,1
L206,10.1007/s10854-005-6454-3,24
L207,10.1016/j.compscitech.2014.08.025,25
L208,10.1002/pc.22306,20
L209,10.1016/S0167-577X(01)00626-7,11
L210,10.1039/C4RA14538K,8
L211,10.1002/polb.20297,65
L212,10.1016/j.polymer.2012.12.066,44
L213,10.1016/j.matdes.2011.12.034,33
L214,10.1021/ma0354400,18
L215,10.1557/mrs2007.232,44
L216,10.1002/polb.21695,78
L218,10.1088/0957-4484/16/6/016,4
L219,10.1002/polb.20926,89
L220,10.1016/j.synthmet.2006.09.003,9
L221,10.1016/j.eurpolymj.2008.06.015,7
L222,10.1016/j.msea.2004.06.031,55
L223,10.1016/j.compositesa.2008.02.006,8
L224,10.1002/1097-4628(20001220)78:13<2272::AID-APP50>3.0.CO;2-U,16
L225,10.1016/j.compscitech.2007.05.006,24
L226,10.1016/j.polymer.2011.02.003,36
L227,10.1063/1.1563306,37
L228,10.1021/nn1019626,23
L229,10.1039/c1jm11434d,27
L230,10.1016/j.compscitech.2004.01.024,1
L231,10.1016/j.jcis.2017.02.001,23
L232,10.1002/app.44347,27
L233,10.1063/1.4959771,1
L234,10.1007/s10853-015-9698-1,24
L235,10.1021/ma400553c,36
L236,10.1016/j.msec.2012.04.005,24
L237,10.1002/adma.201200827,32
L238,10.1016/j.compscitech.2008.07.010,36
L239,10.1109/T-DEI.2008.4446751,2
L240,10.1016/j.matlet.2004.10.036,7
L241,10.1557/jmr.2004.19.3.857,2
L242,10.1103/PhysRevLett.97.075505,4
L243,10.1109/CEIDP.2006.312055,6
L244,10.1109/CEIDP.2009.5377878,56
L245,10.1109/CEIDP.2012.6378717,37
L246,10.1002/pc.10497,23
L247,10.1021/acsami.6b06650,27
L248,10.1109/ceidp.2014.6995891,78
L249,10.1109/CEIDP.2008.4772808,4
L250,10.1109/ICACACT.2014.7223517,89
L251,10.1109/CEIDP.2011.6232738,9
L252,10.1016/j.carbon.2014.01.031,7
L253,10.1016/j.polymer.2011.12.019,55
L254,10.1016/j.polymer.2011.06.018,8
L255,10.1016/j.polymer.2009.08.038,27
L256,10.1016/j.polymer.2004.10.040,78
L257,10.1016/j.polymer.2013.05.013,4
L258,10.1021/ma049164g,3
L259,10.1016/j.polymer.2004.10.087,22
L260,10.1016/j.polymer.2006.01.087,15
L261,10.1016/j.polymer.2014.12.002,1
L262,10.1021/ma5001546,23
L263,10.1021/ma402263y,16
L264,10.1021/acs.nanolett.5b02588,24
L265,10.1016/j.polymer.2005.06.094,36
L266,10.1016/j.carbon.2007.03.029,37
L267,10.1016/j.carbon.2006.02.026,23
L268,10.1016/j.carbon.2007.07.017,27
L269,10.1016/j.carbon.2010.07.036,65
L270,10.1016/j.matdes.2010.04.018,44
L271,10.1002/polb.20251,4
L272,10.1016/j.compscitech.2004.11.016,8
L273,10.1016/j.polymer.2005.10.007,16
L274,10.1016/S0009-2614(03)00621-3,66
L275,10.1016/j.msea.2006.11.066,12
L276,10.1002/pen.21349,33
L277,10.1002/pi.1121,22
L278,10.1021/ma0106494,7
L279,10.1016/j.polymdegradstab.2012.05.022,2
L280,10.1016/j.polymdegradstab.2011.11.006,12
L281,10.1039/c2jm16006d,43
L282,10.1021/ma7026098,31
L283,10.1007/s10965-011-9793-1,37
L284,10.1016/j.compscitech.2013.08.030,34
L285,10.1021/am300297j,31
L286,10.1002/pc.22141,2
L287,10.1016/j.compscitech.2008.09.039,6
L288,10.1016/S0266-3538(02)00201-4,4
L289,10.3144/expresspolymlett.2012.93,8
L290,10.1021/ma060125+,16
L291,10.1016/j.polymer.2006.04.002,66
L292,10.1016/j.eurpolymj.2004.04.011,69
L293,10.1002/app.27863,55
L294,10.1002/pi.2343,65
L295,10.1016/j.porgcoat.2010.09.005,44
L296,10.1016/j.polymer.2005.02.104,1
L297,10.1002/pi.1520,8
L298,10.1002/app.22233,3
L299,10.1016/j.memsci.2007.08.033,4
L300,10.1002/(SICI)1097-4628(19991003)74:1<133::AID-APP16>3.0.CO;2-N,6
L301,10.1016/j.jnoncrysol.2007.10.016,56
L302,10.1007/s10853-005-4417-y,37
L303,10.1002/marc.201100203,23
L304,10.1021/ma1026077,27
L305,10.1016/j.synthmet.2005.07.098,1
L306,10.1016/j.compositesa.2008.12.003,24
